                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.8503,                0.49018,                0.84401,                0.90423,                0.87125,                0.93667,                0.62749,                  1.039,                0.53301,                0.87297,              0.0012929,              0.0012929,              0.0012929
                     37,                0.81896,                0.46498,                0.83284,                0.89023,                0.88281,                0.91845,                0.61294,                 1.0384,                0.54257,                0.85912,              0.0012819,              0.0012819,              0.0012819
                     38,                0.80365,                 0.4655,                0.84362,                0.91725,                0.90625,                0.92423,                0.61374,                 1.0271,                0.50544,                  0.867,              0.0012709,              0.0012709,              0.0012709
                     39,                0.79917,                 0.4432,                0.83076,                0.91464,                0.91194,                0.92502,                0.63588,                 1.0058,                0.49089,                0.86315,              0.0012599,              0.0012599,              0.0012599
                     40,                0.77497,                0.44181,                0.82674,                0.90782,                0.83243,                0.89001,                0.60112,                 1.0379,                0.50928,                0.86087,              0.0012489,              0.0012489,              0.0012489
                     41,                0.77829,                0.44134,                 0.8295,                0.84648,                0.89628,                0.89094,                0.62055,                 1.0146,                0.51817,                0.85976,              0.0012379,              0.0012379,              0.0012379
                     42,                0.81547,                0.44458,                0.84466,                0.91601,                0.84375,                0.90746,                 0.6069,                 1.0651,                0.52179,                0.87441,              0.0012269,              0.0012269,              0.0012269
                     43,                0.75089,                0.43627,                0.84063,                0.87401,                0.91576,                0.92452,                0.59576,                 1.1013,                0.51078,                  0.871,              0.0012159,              0.0012159,              0.0012159
                     44,                 0.7849,                0.45422,                0.83918,                0.87636,                0.91406,                0.93656,                0.62738,                 1.0284,                0.47962,                0.86918,              0.0012049,              0.0012049,              0.0012049
                     45,                0.77827,                0.43782,                0.83069,                0.89013,                0.90625,                0.94738,                0.62526,                 1.0466,                0.48654,                0.87752,              0.0011939,              0.0011939,              0.0011939
                     46,                0.76933,                0.43767,                0.83674,                0.90136,                0.90374,                0.93541,                0.62548,                 1.0161,                0.48456,                0.86077,              0.0011829,              0.0011829,              0.0011829
                     47,                0.74425,                0.42115,                0.82917,                0.90495,                 0.9375,                0.94701,                0.63067,                 1.0276,                0.48346,                0.86145,              0.0011719,              0.0011719,              0.0011719
                     48,                0.72847,                0.41741,                0.81844,                0.89331,                0.89776,                0.92195,                0.63185,                 1.0192,                0.48406,                0.86366,              0.0011609,              0.0011609,              0.0011609
                     49,                0.75109,                0.41764,                0.82366,                0.87518,                0.90625,                0.93176,                0.64766,                0.97598,                0.48814,                0.85566,              0.0011499,              0.0011499,              0.0011499
                     50,                0.74049,                0.42303,                0.82645,                0.87993,                0.89844,                 0.9252,                0.62199,                0.99563,                0.49529,                0.85933,              0.0011389,              0.0011389,              0.0011389
                     51,                0.75313,                0.42995,                0.83465,                0.89854,                0.92478,                0.93457,                0.64769,                 1.0018,                0.48668,                0.86477,              0.0011279,              0.0011279,              0.0011279
                     52,                0.74482,                0.42851,                0.82363,                0.92217,                0.86719,                0.92895,                0.62457,                 1.0006,                0.49846,                 0.8643,              0.0011169,              0.0011169,              0.0011169
                     53,                0.71541,                0.40868,                0.82003,                0.94332,                0.84375,                0.93681,                0.64836,                0.98086,                0.47544,                0.86296,              0.0011059,              0.0011059,              0.0011059
                     54,                0.74204,                 0.4162,                0.82285,                0.93921,                0.89062,                0.94083,                0.64339,                0.97845,                0.47736,                0.85985,              0.0010949,              0.0010949,              0.0010949
                     55,                0.74038,                0.40795,                0.82608,                0.92725,                0.87364,                 0.9228,                0.64014,                0.97378,                0.46619,                0.85397,              0.0010839,              0.0010839,              0.0010839
                     56,                 0.7143,                0.40658,                0.82687,                0.89692,                0.90625,                0.93445,                0.65347,                0.97587,                0.47355,                 0.8643,              0.0010729,              0.0010729,              0.0010729
                     57,                0.75648,                0.42811,                 0.8299,                 0.8739,                0.88363,                0.91536,                0.62856,                0.97982,                0.49223,                0.86703,              0.0010619,              0.0010619,              0.0010619
                     58,                0.74195,                0.41188,                0.83097,                0.89455,                0.89433,                0.92293,                0.62805,                 1.0152,                 0.4938,                0.87654,              0.0010509,              0.0010509,              0.0010509
                     59,                0.74726,                0.41478,                0.83058,                 0.8824,                0.89844,                  0.913,                 0.6164,                 1.0393,                0.49542,                0.86622,              0.0010399,              0.0010399,              0.0010399
                     60,                0.75237,                0.41845,                 0.8295,                0.90998,                0.91646,                0.94365,                0.63327,                 1.0169,                0.45969,                0.86667,              0.0010289,              0.0010289,              0.0010289
                     61,                0.74183,                0.40446,                0.82237,                0.87437,                0.91731,                0.93709,                0.63773,                 1.0084,                0.45917,                0.86217,              0.0010179,              0.0010179,              0.0010179
                     62,                0.70901,                 0.3992,                0.81965,                0.90536,                0.91137,                0.93577,                0.64188,                 1.0159,                0.47481,                0.86364,              0.0010069,              0.0010069,              0.0010069
                     63,                0.71146,                0.39224,                 0.8205,                0.92089,                0.89804,                0.94066,                0.64573,                 1.0161,                0.48376,                0.86185,             0.00099587,             0.00099587,             0.00099587
                     64,                0.69509,                 0.3965,                0.82088,                0.87297,                0.92188,                0.93867,                0.63447,                 1.0144,                0.49901,                0.86063,             0.00098486,             0.00098486,             0.00098486
